,port,state,value,year
489,Naco,Arizona,895440,2015
490,Sasabe,Arizona,57236,2015
491,Douglas,Arizona,5595491,2015
492,Lukeville,Arizona,1147097,2015
493,San Luis,Arizona,11100382,2015
494,Trout River,New York,521770,2015
495,Champlain-Rouses Point,New York,4366943,2015
496,Massena,New York,2400315,2015
497,Buffalo-Niagara Falls,New York,18198877,2015
498,Alexandria Bay,New York,2361673,2015
499,Ogdensburg,New York,953362,2015
500,Cape Vincent,New York,21685,2015
501,Pembina,North Dakota,1555965,2015
502,Portal,North Dakota,742167,2015
503,Neche,North Dakota,119606,2015
504,Sarles,North Dakota,14004,2015
505,Hansboro,North Dakota,20945,2015
506,Walhalla,North Dakota,140323,2015
507,Antler,North Dakota,24501,2015
508,Noonan,North Dakota,92939,2015
509,Westhope,North Dakota,40202,2015
510,Fortuna,North Dakota,45182,2015
511,Northgate,North Dakota,74062,2015
512,Sherwood,North Dakota,66637,2015
513,Ambrose,North Dakota,3039,2015
514,Dunseith,North Dakota,238356,2015
515,Carbury,North Dakota,35813,2015
516,Maida,North Dakota,28466,2015
517,St. John,North Dakota,39443,2015
518,Hannah,North Dakota,3406,2015
519,Progreso,Texas,4266971,2015
520,Roma,Texas,2443096,2015
521,Boquillas,Texas,7007,2015
522,Rio Grande City,Texas,1270358,2015
523,Del Rio,Texas,4716036,2015
524,Eagle Pass,Texas,9545733,2015
525,Tornillo-Fabens,Texas,862308,2015
526,El Paso,Texas,41002269,2015
527,Hidalgo,Texas,17765133,2015
528,Brownsville,Texas,15777337,2015
529,Presidio,Texas,2140007,2015
530,Laredo,Texas,25173596,2015
531,Opheim,Montana,10905,2015
532,Wildhorse,Montana,45495,2015
533,Scobey,Montana,18769,2015
534,Raymond,Montana,105957,2015
535,Del Bonita,Montana,88242,2015
536,Turner,Montana,32354,2015
537,Sweetgrass,Montana,1018802,2015
538,Piegan,Montana,343560,2015
539,Whitlash,Montana,2957,2015
540,Morgan,Montana,19844,2015
541,Willow Creek,Montana,10125,2015
542,Roosville,Montana,556895,2015
543,Whitetail,Montana,0,2015
544,Lancaster,Minnesota,102176,2015
545,Roseau,Minnesota,129126,2015
546,Baudette,Minnesota,479769,2015
547,Grand Portage,Minnesota,785863,2015
548,Pinecreek,Minnesota,15941,2015
549,Warroad,Minnesota,347455,2015
550,International Falls-Ranier,Minnesota,1927109,2015
551,Noyes,Minnesota,0,2015
552,Derby Line,Vermont,1888865,2015
553,Beecher Falls,Vermont,208905,2015
554,Norton,Vermont,146497,2015
555,Highgate Springs-Alburg,Vermont,2068806,2015
556,Richford,Vermont,329060,2015
557,Lynden,Washington,1655448,2015
558,Oroville,Washington,771944,2015
559,Ferry,Washington,24510,2015
560,Metaline Falls,Washington,103573,2015
561,Blaine,Washington,13617574,2015
562,Frontier,Washington,173460,2015
563,Laurier,Washington,159060,2015
564,Boundary,Washington,110606,2015
565,Sumas,Washington,2878987,2015
566,Port Angeles,Washington,199531,2015
567,Danville,Washington,104803,2015
568,Nighthawk,Washington,19298,2015
569,Point Roberts,Washington,2454897,2015
570,Anacortes,Washington,104364,2015
571,Friday Harbor,Washington,9626,2015
572,Eastport,Idaho,554588,2015
573,Porthill,Idaho,397173,2015
574,Sault Sainte Marie,Michigan,2337967,2015
575,Port Huron,Michigan,6945450,2015
576,Detroit,Michigan,14771277,2015
577,Algonac,Michigan,0,2015
578,Santa Teresa,New Mexico,2091026,2015
579,Columbus,New Mexico,1444114,2015
580,Skagway,Alaska,403978,2015
581,Ketchikan,Alaska,9278,2015
582,Alcan,Alaska,164148,2015
583,Dalton Cache,Alaska,60724,2015
584,Toledo-Sandusky,Ohio,0,2015
585,Calexico East,California,10927817,2014
586,Otay Mesa,California,24221610,2014
587,San Ysidro,California,41535749,2014
588,Tecate,California,3255486,2014
589,Calexico,California,15860527,2014
590,Andrade,California,2165243,2014
591,Cross Border Xpress,California,0,2014
592,Van Buren,Maine,650932,2014
593,Madawaska,Maine,1310257,2014
594,Vanceboro,Maine,126881,2014
595,Calais,Maine,2576889,2014
596,Houlton,Maine,1134744,2014
597,Fort Fairfield,Maine,427885,2014
598,Bridgewater,Maine,222329,2014
599,Fort Kent,Maine,475912,2014
600,Jackman,Maine,627547,2014
601,Limestone,Maine,88689,2014
602,Eastport,Maine,386630,2014
603,Portland,Maine,22118,2014
604,Bar Harbor,Maine,0,2014
605,Nogales,Arizona,13854983,2014
606,Naco,Arizona,914353,2014
607,Sasabe,Arizona,50572,2014
608,Douglas,Arizona,5484892,2014
609,Lukeville,Arizona,1017873,2014
610,San Luis,Arizona,10914423,2014
