port,port_name,state,value,year
Otay Mesa,Otay Mesa,California,26706980,2016
San Ysidro,San Ysidro,California,45376612,2016
Tecate,Tecate,California,3666639,2016
Calexico,Calexico,California,16449609,2016
Andrade,Andrade,California,2420383,2016
Cross Border Xpress,Cross Border Xpress,California,0,2016
Van Buren,Van Buren,Maine,424063,2016
Madawaska,Madawaska,Maine,1006829,2016
Vanceboro,Vanceboro,Maine,87596,2016
Calais,Calais,Maine,2054497,2016
Houlton,Houlton,Maine,856306,2016
Fort Fairfield,Fort Fairfield,Maine,306356,2016
Bridgewater,Bridgewater,Maine,136289,2016
Fort Kent,Fort Kent,Maine,329936,2016
Jackman,Jackman,Maine,599429,2016
Limestone,Limestone,Maine,55345,2016
Eastport,Eastport,Maine,380439,2016
Portland,Portland,Maine,22528,2016
Bar Harbor,Bar Harbor,Maine,0,2016
Nogales,Nogales,Arizona,14903980,2016
Naco,Naco,Arizona,896467,2016
Sasabe,Sasabe,Arizona,65341,2016
Douglas,Douglas,Arizona,5469062,2016
Lukeville,Lukeville,Arizona,1302692,2016
San Luis,San Luis,Arizona,11171167,2016
Trout River,Trout River,New York,488213,2016
Champlain-Rouses Point,Champlain-Rouses Point,New York,4337542,2016
Massena,Massena,New York,2353437,2016
Buffalo-Niagara Falls,Buffalo-Niagara Falls,New York,17735730,2016
Alexandria Bay,Alexandria Bay,New York,2301782,2016
Ogdensburg,Ogdensburg,New York,915095,2016
Cape Vincent,Cape Vincent,New York,21878,2016
Pembina,Pembina,North Dakota,1475899,2016
Portal,Portal,North Dakota,668209,2016
Neche,Neche,North Dakota,107875,2016
Sarles,Sarles,North Dakota,12951,2016
Hansboro,Hansboro,North Dakota,22819,2016
Walhalla,Walhalla,North Dakota,120275,2016
Antler,Antler,North Dakota,23110,2016
Noonan,Noonan,North Dakota,82973,2016
Westhope,Westhope,North Dakota,46162,2016
Fortuna,Fortuna,North Dakota,47766,2016
Northgate,Northgate,North Dakota,70390,2016
Sherwood,Sherwood,North Dakota,60142,2016
Ambrose,Ambrose,North Dakota,3046,2016
Dunseith,Dunseith,North Dakota,230425,2016
Carbury,Carbury,North Dakota,36350,2016
Maida,Maida,North Dakota,23374,2016
St. John,St. John,North Dakota,37248,2016
Hannah,Hannah,North Dakota,2808,2016
Progreso,Progreso,Texas,4934027,2016
Roma,Roma,Texas,2579556,2016
Boquillas,Boquillas,Texas,14099,2016
Rio Grande City,Rio Grande City,Texas,1363080,2016
Del Rio,Del Rio,Texas,4965171,2016
Eagle Pass,Eagle Pass,Texas,9644454,2016
Tornillo-Fabens,Tornillo-Fabens,Texas,1000172,2016
El Paso,El Paso,Texas,42171794,2016
Hidalgo,Hidalgo,Texas,18216687,2016
Brownsville,Brownsville,Texas,17190592,2016
Presidio,Presidio,Texas,2168198,2016
Laredo,Laredo,Texas,25032087,2016
Opheim,Opheim,Montana,10039,2016
Wildhorse,Wildhorse,Montana,45592,2016
Scobey,Scobey,Montana,18005,2016
Raymond,Raymond,Montana,101187,2016
Del Bonita,Del Bonita,Montana,85500,2016
Turner,Turner,Montana,30060,2016
Sweetgrass,Sweetgrass,Montana,973826,2016
Piegan,Piegan,Montana,356792,2016
Whitlash,Whitlash,Montana,2037,2016
Morgan,Morgan,Montana,18223,2016
Willow Creek,Willow Creek,Montana,10008,2016
Roosville,Roosville,Montana,536337,2016
Whitetail,Whitetail,Montana,0,2016
Lancaster,Lancaster,Minnesota,93689,2016
Roseau,Roseau,Minnesota,127352,2016
Baudette,Baudette,Minnesota,475125,2016
Grand Portage,Grand Portage,Minnesota,729561,2016
Pinecreek,Pinecreek,Minnesota,13493,2016
Warroad,Warroad,Minnesota,335442,2016
International Falls-Ranier,International Falls-Ranier,Minnesota,1867628,2016
Noyes,Noyes,Minnesota,0,2016
Derby Line,Derby Line,Vermont,1828965,2016
Beecher Falls,Beecher Falls,Vermont,198542,2016
Norton,Norton,Vermont,117933,2016
Highgate Springs-Alburg,Highgate Springs-Alburg,Vermont,2062121,2016
Richford,Richford,Vermont,310949,2016
Lynden,Lynden,Washington,1563933,2016
Oroville,Oroville,Washington,750843,2016
Ferry,Ferry,Washington,31252,2016
Metaline Falls,Metaline Falls,Washington,103624,2016
Blaine,Blaine,Washington,12797598,2016
Frontier,Frontier,Washington,168926,2016
Laurier,Laurier,Washington,163440,2016
Boundary,Boundary,Washington,97624,2016
Sumas,Sumas,Washington,2655660,2016
Port Angeles,Port Angeles,Washington,202591,2016
Danville,Danville,Washington,100560,2016
Nighthawk,Nighthawk,Washington,19643,2016
Point Roberts,Point Roberts,Washington,2278819,2016
Anacortes,Anacortes,Washington,106792,2016
Friday Harbor,Friday Harbor,Washington,10230,2016
Eastport,Eastport,Idaho,537518,2016
Porthill,Porthill,Idaho,372460,2016
Sault Sainte Marie,Sault Sainte Marie,Michigan,2060765,2016
Port Huron,Port Huron,Michigan,6740651,2016
Detroit,Detroit,Michigan,14660148,2016
Algonac,Algonac,Michigan,0,2016
Santa Teresa,Santa Teresa,New Mexico,2383393,2016
Columbus,Columbus,New Mexico,1477932,2016
Skagway,Skagway,Alaska,438455,2016
Ketchikan,Ketchikan,Alaska,9143,2016
Alcan,Alcan,Alaska,183034,2016
Dalton Cache,Dalton Cache,Alaska,64551,2016
Toledo-Sandusky,Toledo-Sandusky,Ohio,0,2016
Calexico East,Calexico East,California,11407619,2015
Otay Mesa,Otay Mesa,California,24411844,2015
